@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
1,'2026/06/05 14:45:04:604',1,0.075459,0,0.103301,0.071335,0,0.139612,0.117967,0.682704,?
2,'2026/06/05 14:45:04:653',1,0.056359,0,0.055025,0.132163,0,0.109001,0.132356,0.696935,?
3,'2026/06/05 14:45:04:662',1,0.080289,0,0.062929,0.166362,0,0.124198,0.129279,0.648089,?
4,'2026/06/05 14:45:04:693',1,0.073271,0,0.035681,0.190883,0,0.07221,0.102587,0.703355,?
5,'2026/06/05 14:45:04:733',1,0.080106,0,0.051117,0.196036,0,0.069659,0.155601,0.654676,?
6,'2026/06/05 14:45:04:764',1,0.075702,0,0.009265,0.220931,0,0.081245,0.140181,0.670423,?
7,'2026/06/05 14:45:04:793',1,0.075008,0,0.056902,0.154058,0,0.084335,0.146391,0.677067,?
8,'2026/06/05 14:45:04:833',1,0.041769,0,0.078299,0.134185,0,0.106703,0.099558,0.712179,?
9,'2026/06/05 14:45:04:865',1,0,0,0.007658,0.207505,0,0.052892,0.101338,0.76913,?
10,'2026/06/05 14:45:04:899',1,0.079633,0,0.027538,0.151796,0,0.055183,0.136255,0.718497,?
11,'2026/06/05 14:45:04:933',1,0.093488,0,0.035508,0.190781,0,0.02939,0.107053,0.714863,?
12,'2026/06/05 14:45:04:968',1,0.087551,0,0.033998,0.176489,0,0.073436,0.127643,0.688051,?
13,'2026/06/05 14:45:04:998',1,0.088133,0,0.047186,0.166598,0,0.047821,0.115804,0.709036,?
14,'2026/06/05 14:45:05:028',1,0.06302,0,0,0.206827,0,0.043788,0.139522,0.716777,?
15,'2026/06/05 14:45:05:067',1,0.048559,0,0.037535,0.168949,0,0.048265,0.131147,0.728465,?
16,'2026/06/05 14:45:05:097',1,0.006777,0,0.043475,0.130385,0,0.06322,0.127197,0.768091,?
17,'2026/06/05 14:45:05:133',1,0.054282,0,0.031248,0.174306,0,0.054785,0.134274,0.719441,?
18,'2026/06/05 14:45:05:167',1,0,0,0.079961,0.151499,0,0.009945,0.126546,0.77003,?
19,'2026/06/05 14:45:05:193',1,0.051983,0,0.069131,0.1228,0,0.070932,0.115333,0.731138,?
20,'2026/06/05 14:45:05:226',1,0.049117,0,0.057026,0.160046,0,0.077066,0.128286,0.705287,?
21,'2026/06/05 14:45:05:259',1,0.026422,0,0.053295,0.148764,0,0.027328,0.150011,0.746362,?
22,'2026/06/05 14:45:05:292',1,0.037244,0,0.036152,0.142275,0,0.034334,0.183496,0.729062,?
23,'2026/06/05 14:45:05:325',1,0.031336,0,0.037934,0.16639,0,0.030656,0.199603,0.7088,?
24,'2026/06/05 14:45:05:358',1,0.035198,0,0.039387,0.176959,0,0.03847,0.170529,0.71216,?
25,'2026/06/05 14:45:05:392',1,0.011106,0,0.024682,0.180153,0,0.033299,0.138517,0.757652,?
26,'2026/06/05 14:45:05:427',1,0.012749,0,0.016654,0.180937,0,0.015312,0.129212,0.778211,?
27,'2026/06/05 14:45:05:459',1,0.045596,0,0.033121,0.158482,0,0.012238,0.173866,0.735436,?
28,'2026/06/05 14:45:05:491',1,0.071007,0,0.060454,0.099137,0,0.043538,0.109578,0.760179,?
29,'2026/06/05 14:45:05:523',1,0.040002,0,0.055487,0.165774,0,0.020342,0.130641,0.742346,?
30,'2026/06/05 14:45:05:558',1,0.049418,0,0.068619,0.131442,0,0.04727,0.15359,0.718538,?
31,'2026/06/05 14:45:05:590',1,0.038737,0,0.073154,0.120708,0,0.034541,0.200707,0.707595,?
32,'2026/06/05 14:45:05:623',1,0.042604,0,0.056231,0.167214,0,0.034367,0.18927,0.693946,?
33,'2026/06/05 14:45:05:658',1,0.017377,0,0.073762,0.20204,0,0.034437,0.1675,0.690552,?
34,'2026/06/05 14:45:05:689',1,0.023625,0,0.114504,0.151813,0,0.071113,0.200652,0.648934,?
35,'2026/06/05 14:45:05:723',1,0.007081,0,0.102193,0.110251,0,0.060761,0.168213,0.719689,?
36,'2026/06/05 14:45:05:757',1,0,0,0.067977,0.130407,0,0.031013,0.171408,0.749497,?
37,'2026/06/05 14:45:05:790',1,0,0,0.043537,0.146703,0,0.021128,0.20374,0.740558,?
38,'2026/06/05 14:45:05:823',1,0.046279,0,0.03346,0.151788,0,0.075431,0.247075,0.653729,?
39,'2026/06/05 14:45:05:858',1,0.062443,0,0.015834,0.180969,0,0.06051,0.224433,0.659882,?
40,'2026/06/05 14:45:05:890',1,0,0,0.034895,0.227895,0,0.051565,0.136625,0.718138,?
41,'2026/06/05 14:45:05:923',1,0.026107,0,0.024248,0.239601,0,0.025434,0.170487,0.696327,?
42,'2026/06/05 14:45:05:958',1,0.013687,0,0,0.287281,0,0.001066,0.202541,0.68464,?
43,'2026/06/05 14:45:05:991',1,0.030248,0,0.012737,0.277127,0,0.046696,0.238861,0.621457,?
44,'2026/06/05 14:45:06:026',1,0.020279,0,0.046378,0.222068,0,0.051858,0.2654,0.62126,?
45,'2026/06/05 14:45:06:060',1,0.003458,0,0.026028,0.231722,0,0.043418,0.215407,0.67498,?
46,'2026/06/05 14:45:06:092',1,0.060633,0,0,0.233809,0,0.021574,0.173224,0.694225,?
47,'2026/06/05 14:45:06:127',1,0.010035,0,0.007811,0.253816,0,0.002611,0.187138,0.711618,?
48,'2026/06/05 14:45:06:161',1,0.034725,0,0.00563,0.224409,0,0.024021,0.204849,0.691479,?
49,'2026/06/05 14:45:06:195',1,0.01395,0,0.012648,0.25911,0.004381,0,0.225315,0.677873,?
50,'2026/06/05 14:45:06:233',1,0.055113,0,0.001398,0.266189,0,0.024355,0.208109,0.653022,?
51,'2026/06/05 14:45:06:265',1,0.00271,0,0.024917,0.233443,0,0.001446,0.263418,0.671291,?
52,'2026/06/05 14:45:06:300',1,0.007823,0,0.042941,0.197309,0,0.020274,0.224222,0.692145,?
53,'2026/06/05 14:45:06:329',1,0,0,0,0.237836,0,0.012638,0.213996,0.709707,?
54,'2026/06/05 14:45:06:363',1,0.007332,0,0.049452,0.121818,0,0.040307,0.195928,0.740727,?
55,'2026/06/05 14:45:06:394',1,0.020717,0,0.024471,0.186206,0,0.005311,0.236058,0.704523,?
56,'2026/06/05 14:45:06:430',1,0.078145,0,0,0.199715,0,0.031231,0.203437,0.67967,?
57,'2026/06/05 14:45:06:464',1,0.054172,0,0,0.158541,0,0.024338,0.236666,0.703926,?
58,'2026/06/05 14:45:06:493',1,0,0,0.008895,0.152057,0,0.025252,0.199846,0.75872,?
59,'2026/06/05 14:45:06:532',1,0.067359,0,0.003014,0.162971,0.011036,0,0.260171,0.684655,?
60,'2026/06/05 14:45:06:562',1,0.074513,0,0.029378,0.186401,0,0.029117,0.291304,0.618304,?
61,'2026/06/05 14:45:06:592',1,0.097683,0,0.015133,0.164195,0,0.006679,0.265154,0.656973,?
62,'2026/06/05 14:45:06:626',1,0.017958,0,0.015266,0.193973,0,0.006771,0.260574,0.690911,?
63,'2026/06/05 14:45:06:664',1,0.032565,0,0,0.207931,0.016915,0,0.240528,0.688788,?
64,'2026/06/05 14:45:06:700',1,0.02194,0,0,0.230498,0.007181,0,0.205587,0.709246,?
65,'2026/06/05 14:45:06:732',1,0,0,0,0.228385,0.008443,0,0.234969,0.705127,?
66,'2026/06/05 14:45:06:769',1,0,0,0,0.237747,0.020273,0,0.253354,0.680391,?
67,'2026/06/05 14:45:06:796',1,0,0,0,0.237689,0.012359,0,0.273176,0.672985,?
68,'2026/06/05 14:45:06:834',1,0.034847,0,0,0.209662,0.011866,0,0.116537,0.76693,?
69,'2026/06/05 14:45:06:867',1,0.062796,0,0,0.161396,0.053548,0,0.235371,0.679306,?
70,'2026/06/05 14:45:06:902',1,0.025809,0,0,0.282615,0.025277,0,0.143296,0.701877,?
71,'2026/06/05 14:45:06:932',1,0.039314,0,0.072995,0.00788,0.022468,0,0,0.910839,?
72,'2026/06/05 14:45:06:968',1,0.130995,0,0.111608,0,0.062044,0,0,0.809596,?
73,'2026/06/05 14:45:06:998',1,0.115479,0,0.059659,0.111293,0.094265,0,0,0.762065,?
74,'2026/06/05 14:45:07:034',1,0.168125,0,0.093268,0.033699,0.083488,0,0,0.763388,?
75,'2026/06/05 14:45:07:061',1,0.177842,0,0.062685,0.333897,0.079931,0,0,0.591028,?
76,'2026/06/05 14:45:07:099',1,0.198365,0,0.068748,0.187692,0.143908,0,0,0.625805,?
77,'2026/06/05 14:45:07:126',1,0.148704,0,0.1164,0.139771,0.091858,0,0,0.689541,?
78,'2026/06/05 14:45:07:159',1,0.158185,0,0.13803,0.080128,0.077089,0,0,0.716605,?
79,'2026/06/05 14:45:07:193',1,0.155065,0,0.165695,0.108153,0.095892,0,0,0.671998,?
80,'2026/06/05 14:45:07:233',1,0.205838,0,0.182498,0.168071,0.051651,0,0,0.619964,?
81,'2026/06/05 14:45:07:266',1,0.223086,0,0.072575,0.126969,0.110589,0,0,0.666739,?
82,'2026/06/05 14:45:07:300',1,0.219615,0,0.109592,0.262956,0.062547,0,0,0.590806,?
83,'2026/06/05 14:45:07:336',1,0.159315,0,0.111257,0.325895,0.016366,0,0,0.616979,?
84,'2026/06/05 14:45:07:364',1,0.227178,0,0.101462,0.328157,0.005179,0,0,0.586266,?
85,'2026/06/05 14:45:07:400',1,0.180597,0,0.149734,0.12287,0.072632,0,0,0.671354,?
86,'2026/06/05 14:45:07:434',1,0.161443,0,0.097068,0.252503,0.017651,0,0,0.669584,?
87,'2026/06/05 14:45:07:467',1,0.221823,0,0.116099,0.315101,0.011404,0,0,0.584733,?
88,'2026/06/05 14:45:07:503',1,0.23147,0,0.10111,0.336291,0.001381,0,0,0.581092,?
89,'2026/06/05 14:45:07:532',1,0.262417,0,0.085791,0.369247,0,0.00117,0,0.550859,?
90,'2026/06/05 14:45:07:567',1,0.18567,0,0.043933,0.315349,0.038245,0,0,0.635502,?
91,'2026/06/05 14:45:07:600',1,0.153745,0,0.045618,0.365437,0.035,0,0,0.625125,?
92,'2026/06/05 14:45:07:632',1,0.221641,0,0.023496,0.381763,0.035009,0,0,0.586307,?
93,'2026/06/05 14:45:07:669',1,0.268319,0,0.062952,0.329183,0.036748,0,0,0.564249,?
